,,train_score,val_score,n_estimators,max_depth,learning_rate,subsample,max_features
0,0,0.008778109319114769,0.21872273041570484,2500,3,0.010032460704075045,0.30000000000000004,sqrt
1,0,0.007106944331122249,0.1743502099552767,2500,3,0.007598789020756697,0.7000000000000001,sqrt
2,0,0.05661791915747624,0.2996730398763213,1800,3,0.004519486185350898,0.7000000000000001,sqrt
3,0,0.026452408123326818,0.2679195199251773,4700,3,0.002961869255495813,0.6,log2
4,0,0.1416749779544667,0.4479337218645747,2700,3,0.0015013273199816078,0.6,sqrt
0,13,0.03861362998174585,0.3193685840340204,1900,3,0.0049650374940196865,0.8,sqrt
1,13,0.03463347854168711,0.25684697991360095,2900,3,0.0035801026972405925,0.9,sqrt
2,13,0.054739106031156864,0.30629842053862677,2200,3,0.0037890714110592307,0.8,log2
3,13,2.298386752734247e-05,0.0813380324801123,4400,3,0.018904424674150145,0.30000000000000004,sqrt
4,13,0.13148500002890778,0.4318432973206908,1100,3,0.003674229497061065,0.8,sqrt
0,25,0.05413877680324502,0.26686648712382177,2100,3,0.004505948273070537,0.6,log2
1,25,0.006958836379772581,0.2118893349070314,4200,3,0.004846083432708321,0.7000000000000001,log2
2,25,0.07161424190399676,0.34230980693297264,5000,3,0.0013043870901167673,0.9,sqrt
3,25,0.0023631564040952494,0.2240517712363783,4900,3,0.00487796284269306,0.9,sqrt
4,25,0.10834996727820953,0.40059876643305325,1300,3,0.004433331674246227,0.6,log2
0,42,0.034664349360612,0.2941092534631038,3200,3,0.0045035811326984984,0.30000000000000004,sqrt
1,42,0.07539137773942373,0.3085627396684245,1300,3,0.005009154233432526,0.9,sqrt
2,42,0.049913864294943086,0.2371743111085292,600,3,0.0149541000749678,0.7000000000000001,sqrt
3,42,0.1730678043429713,0.4283002247979748,1500,3,0.002060653179253647,0.8,sqrt
4,42,0.006949195545183742,0.19238467638654422,2400,3,0.008998939799181286,0.5,sqrt
0,67,0.05578572888459264,0.35505178676170757,3800,3,0.0021890344330155105,0.8,log2
1,67,4.48179704768676e-09,0.1115058741655609,1800,8,0.07738074752756634,0.2,sqrt
2,67,0.06758245870391262,0.3617975288952866,2200,3,0.004051821223107439,0.4,log2
3,67,0.06448624567906099,0.3229694358839717,1100,3,0.006713943640941392,0.7000000000000001,sqrt
4,67,0.08797027503981228,0.29032001762009096,2500,3,0.0026071456316954086,0.6,sqrt
