,,train_score,val_score,n_estimators,max_depth,min_samples_split,min_samples_leaf
0,0,0.2353603925186784,0.36266930254323215,108.0,173.0,16.0,6.0
1,0,0.24336924120199332,0.3455970402802,73.0,598.0,15.0,8.0
2,0,0.2795089019635556,0.373761883848022,76.0,41.0,13.0,11.0
3,0,0.256653090828026,0.39348350800613346,110.0,282.0,25.0,6.0
4,0,0.3010286889499109,0.4646929764364098,95.0,244.0,62.0,3.0
0,13,0.2247369137418273,0.3949809408705004,76.0,79.0,13.0,6.0
1,13,0.2878921278408969,0.36304042344367543,74.0,108.0,41.0,4.0
2,13,0.21774271151090374,0.3702775161371036,96.0,368.0,11.0,6.0
3,13,0.2637221295070349,0.30463746873315434,75.0,74.0,19.0,9.0
4,13,0.23425934558579198,0.45965925602122193,121.0,255.0,4.0,8.0
0,25,0.20881178789481908,0.3868852661881507,74.0,141.0,2.0,5.0
1,25,0.2921573260764379,0.37469199050596624,93.0,142.0,38.0,7.0
2,25,0.25272734795922036,0.39589579773367756,89.0,23.0,26.0,6.0
3,25,0.24507997549571936,0.352925701451002,98.0,284.0,11.0,8.0
4,25,0.30971753940078595,0.4324707945130224,74.0,328.0,44.0,13.0
0,42,0.21788589972666128,0.36646189788015915,117.0,557.0,12.0,6.0
1,42,0.25906785138224764,0.3724885721740514,101.0,76.0,33.0,2.0
2,42,0.27314068539992276,0.36362448862966606,101.0,219.0,36.0,4.0
3,42,0.24583136749984658,0.4414985220460097,89.0,119.0,25.0,7.0
4,42,0.2637377793932084,0.3690084653646425,102.0,71.0,26.0,7.0
0,67,0.27623999540799155,0.42250380147799727,114.0,236.0,2.0,12.0
1,67,0.24573816192854536,0.34865732668593286,115.0,113.0,18.0,7.0
2,67,0.23834831725527578,0.4290241289938808,118.0,138.0,4.0,8.0
3,67,0.2517667295290198,0.4228361603006056,114.0,324.0,25.0,5.0
4,67,0.2948862060493609,0.36368523086472154,125.0,144.0,11.0,13.0
