,,train_score,val_score,max_depth,learning_rate,eta,lambda,gamma,alpha,min_child_weight,grow_policy
0,0,0.3942809799610189,0.3548393965385017,4,0.005832604431994974,0.00013429716822087678,0.00040342521412159465,7.937577109595027e-05,0.2498664958974953,1,lossguide
1,0,0.2400463666228555,0.30708268392186133,7,0.00997270111473984,0.00528593612892909,0.0001227831782753761,6.542639457937495e-05,0.013806347142255607,1,depthwise
2,0,0.4411859088294918,0.39106254854166594,4,0.004874207190157648,0.016375103997472662,0.0011179916259166276,0.0011161915340271943,0.5719939090189312,2,lossguide
3,0,0.35441310472045556,0.41244436179467736,8,0.008475736012383182,0.011701732770220373,0.002700995796297334,4.286269241096943e-05,0.0001706168056299313,5,lossguide
4,0,0.39095144845618307,0.5434440043402695,6,0.0051019251504971575,1.677159338217464e-05,2.3358827649984872e-05,0.010720193999008257,0.07927998964491267,1,lossguide
0,13,0.2952993320403668,0.4013492375360752,8,0.007729633389441125,0.0005669618541511919,2.1656150043776033e-05,0.0002250958402520575,0.006155707447478924,1,lossguide
1,13,0.33009799086734587,0.3409242816207143,6,0.0075752863658014365,0.0007009990352724819,0.2158197178719368,7.574004280024046e-05,0.00011745303048570954,2,depthwise
2,13,0.44733590947789414,0.38042235104526406,6,0.003749348866486464,0.0048095044304704345,4.491324179321244e-05,0.2824446920488256,0.0033620634340548517,1,lossguide
3,13,0.3629661747969184,0.2988799922566089,8,0.007796316410549308,0.4226243178572866,0.4444457236487476,0.20591061186196485,0.00023587269994873293,4,depthwise
4,13,0.4549055011348718,0.5177879185214931,5,0.004041596050957648,0.0020257346851657665,0.0002521571534726505,0.6971253920869671,3.242238348653411e-05,3,lossguide
0,25,0.32097722943362406,0.35909464032805916,9,0.007047014716551549,0.19007297913704035,0.15031202611029815,0.0001961902654215752,0.0001284822233441427,1,depthwise
1,25,0.35178973781537015,0.37927171552085626,4,0.007314407871302123,0.18140719686028736,0.07589004234093998,0.00017828613032426458,0.1023743846608228,1,depthwise
2,25,0.4618269065254853,0.4371441409820028,7,0.00346655492654958,0.002104609324287472,0.00030344866866679413,0.058033788385257426,0.20372438524880096,1,depthwise
3,25,0.2669931685936482,0.3189335329926387,8,0.009504108164349429,2.9134376021678485e-05,0.6646834523992013,0.01317441443433522,0.0008637487456481908,1,depthwise
4,25,0.3119876026139751,0.4383333064700511,7,0.009069190861949157,0.8569163670364429,0.005435156767863418,0.3859056381935604,0.02186793609161809,3,lossguide
0,42,0.30924557121057084,0.3607006233862855,5,0.0080701669325666,0.00036604603723237736,0.14699282730317956,3.2711759073168016e-05,0.5090645865159943,1,lossguide
1,42,0.37857005933469845,0.4705011189887018,6,0.006880580563555628,0.435300110760715,7.3392312798802e-05,0.0015931499344874836,9.23347398593675e-05,4,lossguide
2,42,0.42310319100606403,0.38496062281758636,4,0.005383947705164453,0.0012933508410043668,0.679203293501062,0.4172243271679178,0.20503700517948859,1,depthwise
3,42,0.4329954049337714,0.5108006086163953,8,0.004662061778970476,0.00014639144311464635,0.00035145324865426455,2.93915038570354e-05,0.005351596510707101,3,lossguide
4,42,0.3443949160140914,0.4151268526833473,8,0.00946157412301425,0.02959814739257905,0.783024445142382,0.8604691003001386,3.5015699911138225e-05,6,lossguide
0,67,0.3613215091100632,0.5107342228272668,5,0.007744077473776854,0.04994055196566956,5.608465131976058e-05,0.001866852025023861,0.00988343642986324,5,lossguide
1,67,0.2502060000205233,0.2972690964260001,9,0.009594648152100774,0.001008189602304028,0.042684581885891575,0.0007117121871368748,0.09346761387956116,1,depthwise
2,67,0.4980263312368892,0.4918282357229776,7,0.0030537081942293267,0.006439306541584243,0.0020606513760878797,1.748446131975109e-05,7.200005488122932e-05,2,depthwise
3,67,0.5065396439100289,0.47067774542677804,4,0.003146142497321157,0.0006027341942192941,0.024785635563164092,0.08017307828660437,3.555481588903498e-05,1,depthwise
4,67,0.36294682720817195,0.3534738878922991,7,0.00640027837792312,0.13522367178081166,0.0006768748001400938,0.035686166864423115,0.009941758098433286,2,depthwise
